Longitude,Latitude,,
-122.4946,38.353711,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.48093,38.375195,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.48874,38.375195,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.4985,38.375195,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.48874,38.381055,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.49069,38.384961,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.49265,38.39082,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.4985,38.39668,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.50436,38.394726,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.51804,38.369336,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.54147,38.381055,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.54929,38.377148,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.54929,38.429883,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.55515,38.431836,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.54147,38.431836,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.54538,38.435742,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.54343,38.441602,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.57272,38.384961,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.57468,38.39082,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.5864,38.381055,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.60397,38.371289,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.61179,38.373242,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.63327,38.377148,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.6528,38.367383,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.62546,38.379101,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.61179,38.388867,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.61179,38.402539,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.62155,38.42207,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.62155,38.42207,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.62546,38.424023,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.6235,38.42793,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.60593,38.424023,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.70163,38.48457,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.70554,38.486523,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.69772,38.480664,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
